,feature,LD1,LD2
119,fALFF_cortex_RH_ContB_PFCld_1,-0.932271987232655,-0.932271987232655
120,DC_cortex_RH_DorsAttnB_PostC_8,0.938094134710093,0.938094134710093
121,fALFF_mPMtha_L,-0.939258023751923,-0.939258023751923
122,fALFF_cortex_LH_ContA_PFClv_2,-0.945627399034648,-0.945627399034648
123,ReHo_cortex_RH_DefaultA_IPL_2,-0.952653592178934,-0.952653592178934
124,fALFF_cortex_RH_SomMotA_6,0.962497917722835,0.962497917722835
125,fALFF_cortex_RH_ContA_IPS_1,-0.970342115267299,-0.970342115267299
126,fALFF_cortex_RH_SalVentAttnA_PrC_1,0.982705615163957,0.982705615163957
127,ReHo_cortex_RH_DorsAttnB_FEF_3,-0.986219473459954,-0.986219473459954
128,fALFF_cortex_RH_DorsAttnB_PostC_5,1.01230077226883,1.01230077226883
129,fALFF_Stha_L,1.03392389689802,1.03392389689802
130,fALFF_cortex_LH_VisCent_Striate_1,-1.0378459814581,-1.0378459814581
131,fALFF_cortex_RH_DorsAttnA_SPL_4,-1.08048728710039,-1.08048728710039
132,fALFF_cortex_RH_DorsAttnA_TempOcc_3,1.1006865060982,1.1006865060982
133,DC_cortex_RH_SomMotA_6,1.10079577572047,1.10079577572047
134,fALFF_cortex_LH_SalVentAttnB_PFCl_1,-1.10825626935265,-1.10825626935265
135,fALFF_cortex_RH_SomMotB_Cent_1,-1.1365226142831,-1.1365226142831
136,fALFF_cortex_LH_LimbicA_TempPole_2,1.14239366618969,1.14239366618969
137,gmv_cortex_LH_SomMotA_11,1.17028854575732,1.17028854575732
138,fALFF_Stha_R,-1.18931414245121,-1.18931414245121
139,fALFF_cortex_RH_ContA_IPS_2,1.22781828062928,1.22781828062928
140,fALFF_cortex_LH_ContB_PFClv_2,1.23128664902948,1.23128664902948
141,fALFF_cortex_RH_ContA_Cingm_1,-1.24812921836335,-1.24812921836335
142,DC_cortex_LH_SalVentAttnA_ParMed_1,1.259467935119,1.259467935119
143,fALFF_cortex_RH_SomMotB_Cent_3,1.27057665662629,1.27057665662629
144,fALFF_cortex_LH_DefaultA_PFCd_1,1.30790692744816,1.30790692744816
145,fALFF_cortex_LH_ContA_IPS_1,1.31252511044695,1.31252511044695
146,fALFF_cHipp_L,-1.31501374456815,-1.31501374456815
147,fALFF_cortex_LH_SalVentAttnA_FrMed_2,1.32454729259657,1.32454729259657
148,fALFF_cortex_LH_SomMotA_1,-1.32559131157069,-1.32559131157069
149,fALFF_cortex_RH_SalVentAttnA_ParOper_3,1.33123325839348,1.33123325839348
150,gmv_cortex_RH_SomMotA_11,1.34095250989658,1.34095250989658
151,fALFF_cortex_RH_DorsAttnB_PostC_2,-1.34245334716127,-1.34245334716127
152,fALFF_cortex_LH_SomMotB_Aud_1,1.35406201292576,1.35406201292576
153,fALFF_cortex_RH_SalVentAttnB_PFCl_1,-1.36222629729887,-1.36222629729887
154,fALFF_rHipp_L,1.41792111941604,1.41792111941604
155,fALFF_cortex_RH_SomMotA_3,1.46740685570088,1.46740685570088
156,DC_cortex_RH_TempPar_4,-1.49804154708449,-1.49804154708449
157,fALFF_cortex_LH_DorsAttnB_PostC_2,-1.58462420561171,-1.58462420561171
158,fALFF_cortex_RH_SalVentAttnB_PFClv_1,-1.65543543162009,-1.65543543162009
159,fALFF_rTtha_L,-1.76914832179635,-1.76914832179635
160,DC_cortex_LH_DefaultC_PHC_3,1.77220209130393,1.77220209130393
161,fALFF_cortex_LH_DorsAttnA_SPL_3,1.82263316118098,1.82263316118098
162,fALFF_cortex_RH_SalVentAttnA_FrMed_3,1.8552314592517,1.8552314592517
163,fALFF_cortex_LH_DefaultB_Temp_1,1.89139400236206,1.89139400236206
164,fALFF_mAmyg_R,-1.92869356270618,-1.92869356270618
165,fALFF_cortex_RH_DorsAttnB_FEF_3,-1.9391420505406,-1.9391420505406
166,DC_cerebellum_9,1.96509875902244,1.96509875902244
167,DC_cortex_LH_DefaultB_Temp_5,-1.98598789335336,-1.98598789335336
168,fALFF_cortex_RH_SalVentAttnB_PFCmp_1,2.16039912353828,2.16039912353828
169,gmv_cortex_RH_SomMotA_7,-2.18297585817718,-2.18297585817718
170,fALFF_cortex_RH_SomMotB_S2_1,-2.25378312937388,-2.25378312937388
171,DC_cortex_RH_SalVentAttnA_ParMed_4,-2.26809548146915,-2.26809548146915
172,fALFF_cortex_LH_DorsAttnB_PostC_5,-2.29391047636242,-2.29391047636242
173,DC_cortex_LH_SalVentAttnA_ParOper_1,-2.3938013193782,-2.3938013193782
174,fALFF_cortex_RH_SalVentAttnA_FrMed_2,2.4407286368109,2.4407286368109
175,fALFF_cortex_LH_SomMotB_S2_2,2.45604471398164,2.45604471398164
176,fALFF_cortex_LH_SomMotB_Aud_4,2.72518183926452,2.72518183926452
177,DC_cortex_RH_SalVentAttnA_ParOper_1,2.96103491818487,2.96103491818487
178,fALFF_cTtha_L,3.21025038526748,3.21025038526748
179,gmv_cortex_LH_DorsAttnB_PostC_6,-3.24964351741844,-3.24964351741844
180,gmv_lPFtha_R,3.83739932854325,3.83739932854325
181,gmv_cortex_RH_SomMotA_10,3.99222220519326,3.99222220519326
182,DC_cortex_LH_SalVentAttnA_FrMed_1,-4.05240091919471,-4.05240091919471
183,DC_cortex_LH_DorsAttnB_PostC_1,4.47286433211187,4.47286433211187
184,gmv_cortex_RH_VisCent_ExStr_8,6.3167781287337,6.3167781287337
185,gmv_cortex_LH_LimbicB_OFC_1,8.26445611581062,8.26445611581062
